No.,Review_Text,Sentiment_Label,review_length,tokens,Cleaned_review
100001,caution may lose bit magic well written book inner workings secrets disneyland though huge disneyland fan lost little bit disney magic need know past cast members called dismal land hated jobs murder dl disturbing events walked away reading book bit sadness magic feel walk gates forever tarnished deeply regret reading book,0,51,"['caution', 'may', 'lose', 'bit', 'magic', 'well', 'written', 'book', 'inner', 'working', 'secret', 'disneyland', 'though', 'huge', 'disneyland', 'fan', 'lost', 'little', 'bit', 'disney', 'magic', 'need', 'know', 'past', 'cast', 'member', 'called', 'dismal', 'land', 'hated', 'job', 'murder', 'dl', 'disturbing', 'event', 'walked', 'away', 'reading', 'book', 'bit', 'sadness', 'magic', 'feel', 'walk', 'gate', 'forever', 'tarnished', 'deeply', 'regret', 'reading', 'book']",caution may lose bit magic well written book inner working secret disneyland though huge disneyland fan lost little bit disney magic need know past cast member called dismal land hated job murder dl disturbing event walked away reading book bit sadness magic feel walk gate forever tarnished deeply regret reading book
110001,good teaching tool pretty easy read helped daughter understand privates private pictures little bit much year old skip pages,1,19,"['good', 'teaching', 'tool', 'pretty', 'easy', 'read', 'helped', 'daughter', 'understand', 'private', 'private', 'picture', 'little', 'bit', 'much', 'year', 'old', 'skip', 'page']",good teaching tool pretty easy read helped daughter understand private private picture little bit much year old skip page
120001,access code doesnt work disappointed access code didnt work said already used bought book new tried emailing comapany several times response disappointed,0,22,"['access', 'code', 'doesnt', 'work', 'disappointed', 'access', 'code', 'didnt', 'work', 'said', 'already', 'used', 'bought', 'book', 'new', 'tried', 'emailing', 'comapany', 'several', 'time', 'response', 'disappointed']",access code doesnt work disappointed access code didnt work said already used bought book new tried emailing comapany several time response disappointed
130001,one best scifi films ever made classic science fiction film added list best films ever made time fancy special effects movies years future film pretty good saucer space ship gort galactic spacecop robot steel melting rays emit gorts head great actors plot haunting music excellent reading original story author say director robert wise made much enjoyable film usand improved story,1,60,"['one', 'best', 'scifi', 'film', 'ever', 'made', 'classic', 'science', 'fiction', 'film', 'added', 'list', 'best', 'film', 'ever', 'made', 'time', 'fancy', 'special', 'effect', 'movie', 'year', 'future', 'film', 'pretty', 'good', 'saucer', 'space', 'ship', 'gort', 'galactic', 'spacecop', 'robot', 'steel', 'melting', 'ray', 'emit', 'gorts', 'head', 'great', 'actor', 'plot', 'haunting', 'music', 'excellent', 'reading', 'original', 'story', 'author', 'say', 'director', 'robert', 'wise', 'made', 'much', 'enjoyable', 'film', 'usand', 'improved', 'story']",one best scifi film ever made classic science fiction film added list best film ever made time fancy special effect movie year future film pretty good saucer space ship gort galactic spacecop robot steel melting ray emit gorts head great actor plot haunting music excellent reading original story author say director robert wise made much enjoyable film usand improved story
140001,give reviews warn buy product company purchased three different products aroma company company quality control products products give c error problems open box try using product month cannot return product already give error even ask customer support unhelpful tell fix product,0,40,"['give', 'review', 'warn', 'buy', 'product', 'company', 'purchased', 'three', 'different', 'product', 'aroma', 'company', 'company', 'quality', 'control', 'product', 'product', 'give', 'c', 'error', 'problem', 'open', 'box', 'try', 'using', 'product', 'month', 'return', 'product', 'already', 'give', 'error', 'even', 'ask', 'customer', 'support', 'unhelpful', 'tell', 'fix', 'product']",give review warn buy product company purchased three different product aroma company company quality control product product give c error problem open box try using product month return product already give error even ask customer support unhelpful tell fix product
150001,hard get removing cartridge guts came brass barelland shower motor home fiber glass stallso get install new cartridgemy hole motor home moen great untill replace parts instructionsand new clips mi around trip sets clips lowesin yuma az live mexico beach dont like driving us partsome one let know get barell outthanks al brandon,0,53,"['hard', 'get', 'removing', 'cartridge', 'gut', 'came', 'brass', 'barelland', 'shower', 'motor', 'home', 'fiber', 'glass', 'stallso', 'get', 'install', 'new', 'cartridgemy', 'hole', 'motor', 'home', 'moen', 'great', 'untill', 'replace', 'part', 'instructionsand', 'new', 'clip', 'mi', 'around', 'trip', 'set', 'clip', 'lowesin', 'yuma', 'az', 'live', 'mexico', 'beach', 'dont', 'like', 'driving', 'u', 'partsome', 'one', 'let', 'know', 'get', 'barell', 'outthanks', 'al', 'brandon']",hard get removing cartridge gut came brass barelland shower motor home fiber glass stallso get install new cartridgemy hole motor home moen great untill replace part instructionsand new clip mi around trip set clip lowesin yuma az live mexico beach dont like driving u partsome one let know get barell outthanks al brandon
160001,wonderful perfect view small objects started small business customizing handset rhinestones motif transfers tshirts clear prism box perfect keeping rhinestones various colors sizes separated lid fits tight tiny stones dont spill next bin box crystal clear allow color distortion important many colors manufacturers name slightly different using box couple years care far show wear tear strong stackable storage box economically perfect business,1,62,"['wonderful', 'perfect', 'view', 'small', 'object', 'started', 'small', 'business', 'customizing', 'handset', 'rhinestone', 'motif', 'transfer', 'tshirts', 'clear', 'prism', 'box', 'perfect', 'keeping', 'rhinestone', 'various', 'color', 'size', 'separated', 'lid', 'fit', 'tight', 'tiny', 'stone', 'dont', 'spill', 'next', 'bin', 'box', 'crystal', 'clear', 'allow', 'color', 'distortion', 'important', 'many', 'color', 'manufacturer', 'name', 'slightly', 'different', 'using', 'box', 'couple', 'year', 'care', 'far', 'show', 'wear', 'tear', 'strong', 'stackable', 'storage', 'box', 'economically', 'perfect', 'business']",wonderful perfect view small object started small business customizing handset rhinestone motif transfer tshirts clear prism box perfect keeping rhinestone various color size separated lid fit tight tiny stone dont spill next bin box crystal clear allow color distortion important many color manufacturer name slightly different using box couple year care far show wear tear strong stackable storage box economically perfect business
170001,jews jesus documentary based messianic jewish congregation called city david toronto canada formed group movement called jews jesus often clashed another movement called jews judaism orthodox jewish congregations often opposed yeshua returning messiahbasically people looking answers current problems world today young jewish adults also shown ostracized parents family members become believers jesus messiah highly recommend viewing wondering really going wish included discussing growing jewish messianic movement taking place israel,1,69,"['jew', 'jesus', 'documentary', 'based', 'messianic', 'jewish', 'congregation', 'called', 'city', 'david', 'toronto', 'canada', 'formed', 'group', 'movement', 'called', 'jew', 'jesus', 'often', 'clashed', 'another', 'movement', 'called', 'jew', 'judaism', 'orthodox', 'jewish', 'congregation', 'often', 'opposed', 'yeshua', 'returning', 'messiahbasically', 'people', 'looking', 'answer', 'current', 'problem', 'world', 'today', 'young', 'jewish', 'adult', 'also', 'shown', 'ostracized', 'parent', 'family', 'member', 'become', 'believer', 'jesus', 'messiah', 'highly', 'recommend', 'viewing', 'wondering', 'really', 'going', 'wish', 'included', 'discussing', 'growing', 'jewish', 'messianic', 'movement', 'taking', 'place', 'israel']",jew jesus documentary based messianic jewish congregation called city david toronto canada formed group movement called jew jesus often clashed another movement called jew judaism orthodox jewish congregation often opposed yeshua returning messiahbasically people looking answer current problem world today young jewish adult also shown ostracized parent family member become believer jesus messiah highly recommend viewing wondering really going wish included discussing growing jewish messianic movement taking place israel
180001,predictable pretty much old caddy shack plot weve seen hundred times beforehowever brooke shields still looks pretty good funny movieif youre twelveyears old,0,23,"['predictable', 'pretty', 'much', 'old', 'caddy', 'shack', 'plot', 'weve', 'seen', 'hundred', 'time', 'beforehowever', 'brooke', 'shield', 'still', 'look', 'pretty', 'good', 'funny', 'movieif', 'youre', 'twelveyears', 'old']",predictable pretty much old caddy shack plot weve seen hundred time beforehowever brooke shield still look pretty good funny movieif youre twelveyears old
190001,big disappointment excited find tapes library kept waiting magical love reveal wallers novel instead told sorts filler jana st james wearing ate day unbelievable amount extraneous material blow smoke thin story average affair initiated married man one feel sorry wallers wife georgia learning husband night gave birth daughter much wishful thinking part st james didnt see parallels madison county novel except characters sex,0,63,"['big', 'disappointment', 'excited', 'find', 'tape', 'library', 'kept', 'waiting', 'magical', 'love', 'reveal', 'waller', 'novel', 'instead', 'told', 'sort', 'filler', 'jana', 'st', 'james', 'wearing', 'ate', 'day', 'unbelievable', 'amount', 'extraneous', 'material', 'blow', 'smoke', 'thin', 'story', 'average', 'affair', 'initiated', 'married', 'man', 'one', 'feel', 'sorry', 'waller', 'wife', 'georgia', 'learning', 'husband', 'night', 'gave', 'birth', 'daughter', 'much', 'wishful', 'thinking', 'part', 'st', 'james', 'didnt', 'see', 'parallel', 'madison', 'county', 'novel', 'except', 'character', 'sex']",big disappointment excited find tape library kept waiting magical love reveal waller novel instead told sort filler jana st james wearing ate day unbelievable amount extraneous material blow smoke thin story average affair initiated married man one feel sorry waller wife georgia learning husband night gave birth daughter much wishful thinking part st james didnt see parallel madison county novel except character sex
200001,ho better besides h halloween halooween movie ive seen like idea mike niece low gore fans original recommend set title side,0,21,"['ho', 'better', 'besides', 'h', 'halloween', 'halooween', 'movie', 'ive', 'seen', 'like', 'idea', 'mike', 'niece', 'low', 'gore', 'fan', 'original', 'recommend', 'set', 'title', 'side']",ho better besides h halloween halooween movie ive seen like idea mike niece low gore fan original recommend set title side
210001,nice long enough purchased car seat protector go eddie bauer carseat agree another reviewer said carseat protector long enough big suv dodge durango big suv also maybe big seats think pretty pointless storage pockets protector long enough able store anything pockets end carseati eddie bauer carseat cant said car seat protector works eddie bauer brand daughter still rear facing position believe gets moved forward facing booster seat front pockets possibly able used doesnt interfere feet,1,75,"['nice', 'long', 'enough', 'purchased', 'car', 'seat', 'protector', 'go', 'eddie', 'bauer', 'carseat', 'agree', 'another', 'reviewer', 'said', 'carseat', 'protector', 'long', 'enough', 'big', 'suv', 'dodge', 'durango', 'big', 'suv', 'also', 'maybe', 'big', 'seat', 'think', 'pretty', 'pointless', 'storage', 'pocket', 'protector', 'long', 'enough', 'able', 'store', 'anything', 'pocket', 'end', 'carseati', 'eddie', 'bauer', 'carseat', 'cant', 'said', 'car', 'seat', 'protector', 'work', 'eddie', 'bauer', 'brand', 'daughter', 'still', 'rear', 'facing', 'position', 'believe', 'get', 'moved', 'forward', 'facing', 'booster', 'seat', 'front', 'pocket', 'possibly', 'able', 'used', 'doesnt', 'interfere', 'foot']",nice long enough purchased car seat protector go eddie bauer carseat agree another reviewer said carseat protector long enough big suv dodge durango big suv also maybe big seat think pretty pointless storage pocket protector long enough able store anything pocket end carseati eddie bauer carseat cant said car seat protector work eddie bauer brand daughter still rear facing position believe get moved forward facing booster seat front pocket possibly able used doesnt interfere foot
220001,wutangiest cd ever great album great group cant even tell much miss themwhy great bands break beatles monkees weather girls new kids block wutang club right dont know good thing itwell least still great music get great wutang music get great cd,1,42,"['wutangiest', 'cd', 'ever', 'great', 'album', 'great', 'group', 'cant', 'even', 'tell', 'much', 'miss', 'themwhy', 'great', 'band', 'break', 'beatles', 'monkees', 'weather', 'girl', 'new', 'kid', 'block', 'wutang', 'club', 'right', 'dont', 'know', 'good', 'thing', 'itwell', 'least', 'still', 'great', 'music', 'get', 'great', 'wutang', 'music', 'get', 'great', 'cd']",wutangiest cd ever great album great group cant even tell much miss themwhy great band break beatles monkees weather girl new kid block wutang club right dont know good thing itwell least still great music get great wutang music get great cd
230001,awesome outstanding wasted powerful book read years whole library books eating disorders struggled illness years far best gutrenching account really like,1,21,"['awesome', 'outstanding', 'wasted', 'powerful', 'book', 'read', 'year', 'whole', 'library', 'book', 'eating', 'disorder', 'struggled', 'illness', 'year', 'far', 'best', 'gutrenching', 'account', 'really', 'like']",awesome outstanding wasted powerful book read year whole library book eating disorder struggled illness year far best gutrenching account really like
240001,beautiful watch delighted watch arrived wearing seiko watches adult life one beautiful love,1,13,"['beautiful', 'watch', 'delighted', 'watch', 'arrived', 'wearing', 'seiko', 'watch', 'adult', 'life', 'one', 'beautiful', 'love']",beautiful watch delighted watch arrived wearing seiko watch adult life one beautiful love
250001,fun watch even though movie movies like matter hold real value martial art trying dictate fun watch hollywood myth ninja media definatly funny times like old godzilla movies recomended interested bujinkin ninjutsu ryu,1,33,"['fun', 'watch', 'even', 'though', 'movie', 'movie', 'like', 'matter', 'hold', 'real', 'value', 'martial', 'art', 'trying', 'dictate', 'fun', 'watch', 'hollywood', 'myth', 'ninja', 'medium', 'definatly', 'funny', 'time', 'like', 'old', 'godzilla', 'movie', 'recomended', 'interested', 'bujinkin', 'ninjutsu', 'ryu']",fun watch even though movie movie like matter hold real value martial art trying dictate fun watch hollywood myth ninja medium definatly funny time like old godzilla movie recomended interested bujinkin ninjutsu ryu
260001,come see paid movie dont clue clue absolute garbage war movie dvds wont even let one take space dvd rack trash goes,0,22,"['come', 'see', 'paid', 'movie', 'dont', 'clue', 'clue', 'absolute', 'garbage', 'war', 'movie', 'dvd', 'wont', 'even', 'let', 'one', 'take', 'space', 'dvd', 'rack', 'trash', 'go']",come see paid movie dont clue clue absolute garbage war movie dvd wont even let one take space dvd rack trash go
270001,excellent mdamediocre phone best handheld seen yet allows unbelievable wifi connection bluetooth sync mac pc wifi used without tmobile data plan wherever free wifi set web surf incredibly high speeds dont need service enjoy internetthe negative poor phone signal bit frustrated inability make phone calls house step outside cant win need hand held want great onethis,1,56,"['excellent', 'mdamediocre', 'phone', 'best', 'handheld', 'seen', 'yet', 'allows', 'unbelievable', 'wifi', 'connection', 'bluetooth', 'sync', 'mac', 'pc', 'wifi', 'used', 'without', 'tmobile', 'data', 'plan', 'wherever', 'free', 'wifi', 'set', 'web', 'surf', 'incredibly', 'high', 'speed', 'dont', 'need', 'service', 'enjoy', 'internetthe', 'negative', 'poor', 'phone', 'signal', 'bit', 'frustrated', 'inability', 'make', 'phone', 'call', 'house', 'step', 'outside', 'cant', 'win', 'need', 'hand', 'held', 'want', 'great', 'onethis']",excellent mdamediocre phone best handheld seen yet allows unbelievable wifi connection bluetooth sync mac pc wifi used without tmobile data plan wherever free wifi set web surf incredibly high speed dont need service enjoy internetthe negative poor phone signal bit frustrated inability make phone call house step outside cant win need hand held want great onethis
280001,werent wealth knowledge video wouldnt worh itas productionimage quality sish cant belive twenty years later wayne still selling video three wishes would wish dramatic price reduction video would wish wayne produce new set videos digital equipment footage sell price paying current video,0,42,"['werent', 'wealth', 'knowledge', 'video', 'wouldnt', 'worh', 'itas', 'productionimage', 'quality', 'sish', 'cant', 'belive', 'twenty', 'year', 'later', 'wayne', 'still', 'selling', 'video', 'three', 'wish', 'would', 'wish', 'dramatic', 'price', 'reduction', 'video', 'would', 'wish', 'wayne', 'produce', 'new', 'set', 'video', 'digital', 'equipment', 'footage', 'sell', 'price', 'paying', 'current', 'video']",werent wealth knowledge video wouldnt worh itas productionimage quality sish cant belive twenty year later wayne still selling video three wish would wish dramatic price reduction video would wish wayne produce new set video digital equipment footage sell price paying current video
290001,coldest book ever first read book earlier year took two days read couldnt even sleep let someone borrow lost purchased avid reader read anything thats good books read best let one possession book realest book ever read many parts book read true needs movie go along book sister souljah excellent author book worth investing adding collection hats sister souljah dont book dont know missing,1,64,"['coldest', 'book', 'ever', 'first', 'read', 'book', 'earlier', 'year', 'took', 'two', 'day', 'read', 'couldnt', 'even', 'sleep', 'let', 'someone', 'borrow', 'lost', 'purchased', 'avid', 'reader', 'read', 'anything', 'thats', 'good', 'book', 'read', 'best', 'let', 'one', 'possession', 'book', 'realest', 'book', 'ever', 'read', 'many', 'part', 'book', 'read', 'true', 'need', 'movie', 'go', 'along', 'book', 'sister', 'souljah', 'excellent', 'author', 'book', 'worth', 'investing', 'adding', 'collection', 'hat', 'sister', 'souljah', 'dont', 'book', 'dont', 'know', 'missing']",coldest book ever first read book earlier year took two day read couldnt even sleep let someone borrow lost purchased avid reader read anything thats good book read best let one possession book realest book ever read many part book read true need movie go along book sister souljah excellent author book worth investing adding collection hat sister souljah dont book dont know missing
300001,decent get u pay got set around house perfect use time stand abuse better sets therecheers,1,16,"['decent', 'get', 'u', 'pay', 'got', 'set', 'around', 'house', 'perfect', 'use', 'time', 'stand', 'abuse', 'better', 'set', 'therecheers']",decent get u pay got set around house perfect use time stand abuse better set therecheers
310001,missing part get point tip unitso unable use engraver ordering tipwill update review get tip,0,15,"['missing', 'part', 'get', 'point', 'tip', 'unitso', 'unable', 'use', 'engraver', 'ordering', 'tipwill', 'update', 'review', 'get', 'tip']",missing part get point tip unitso unable use engraver ordering tipwill update review get tip
320001,plodded second book jonathan kellerman ive read billy straight first really enjoyed one anticipated good read gone wrong book extremely tedious start finish kept longer point started skimming details find itso could give book away unsuspecting victim,0,37,"['plodded', 'second', 'book', 'jonathan', 'kellerman', 'ive', 'read', 'billy', 'straight', 'first', 'really', 'enjoyed', 'one', 'anticipated', 'good', 'read', 'gone', 'wrong', 'book', 'extremely', 'tedious', 'start', 'finish', 'kept', 'longer', 'point', 'started', 'skimming', 'detail', 'find', 'itso', 'could', 'give', 'book', 'away', 'unsuspecting', 'victim']",plodded second book jonathan kellerman ive read billy straight first really enjoyed one anticipated good read gone wrong book extremely tedious start finish kept longer point started skimming detail find itso could give book away unsuspecting victim
330001,charging sync forewarned cable sync iphoneipod described charge thats wish read reviews carefully bc really didnt need chargeonly cable ugh,0,20,"['charging', 'sync', 'forewarned', 'cable', 'sync', 'iphoneipod', 'described', 'charge', 'thats', 'wish', 'read', 'review', 'carefully', 'bc', 'really', 'didnt', 'need', 'chargeonly', 'cable', 'ugh']",charging sync forewarned cable sync iphoneipod described charge thats wish read review carefully bc really didnt need chargeonly cable ugh
340001,buttler creek comfort stretch rifle sling carried rifle years one slings seems buttler creek tried lower cost new version comfortable still wish metal buckles instead plastic im worried durability years abuse woods would buy,1,34,"['buttler', 'creek', 'comfort', 'stretch', 'rifle', 'sling', 'carried', 'rifle', 'year', 'one', 'sling', 'seems', 'buttler', 'creek', 'tried', 'lower', 'cost', 'new', 'version', 'comfortable', 'still', 'wish', 'metal', 'buckle', 'instead', 'plastic', 'im', 'worried', 'durability', 'year', 'abuse', 'wood', 'would', 'buy']",buttler creek comfort stretch rifle sling carried rifle year one sling seems buttler creek tried lower cost new version comfortable still wish metal buckle instead plastic im worried durability year abuse wood would buy
350001,bought weigh cat cat gi disease need keep track weight ordered scale found worked first month every time would place cat scale would jump lbs contacted salter per instructions shipped scale back payed shipping promptly sent new one paid shipping problem ordered mechanical pet scale tossing one garbage wastesalter electronic baby toddler scaleof money,0,54,"['bought', 'weigh', 'cat', 'cat', 'gi', 'disease', 'need', 'keep', 'track', 'weight', 'ordered', 'scale', 'found', 'worked', 'first', 'month', 'every', 'time', 'would', 'place', 'cat', 'scale', 'would', 'jump', 'lb', 'contacted', 'salter', 'per', 'instruction', 'shipped', 'scale', 'back', 'payed', 'shipping', 'promptly', 'sent', 'new', 'one', 'paid', 'shipping', 'problem', 'ordered', 'mechanical', 'pet', 'scale', 'tossing', 'one', 'garbage', 'wastesalter', 'electronic', 'baby', 'toddler', 'scaleof', 'money']",bought weigh cat cat gi disease need keep track weight ordered scale found worked first month every time would place cat scale would jump lb contacted salter per instruction shipped scale back payed shipping promptly sent new one paid shipping problem ordered mechanical pet scale tossing one garbage wastesalter electronic baby toddler scaleof money
360001,terrible sound doesnt work batteries sound quality unit terrible loads static hear every peep monthold makes volume goes certain level goes silence sort defeats purpose want hear needs hes cooing sleep ive even tried moving main unit across room placing receiver hallwaythen theres battery backup thats joke unit draws much electricity batteries always plugged inive enough buying another one today,0,60,"['terrible', 'sound', 'doesnt', 'work', 'battery', 'sound', 'quality', 'unit', 'terrible', 'load', 'static', 'hear', 'every', 'peep', 'monthold', 'make', 'volume', 'go', 'certain', 'level', 'go', 'silence', 'sort', 'defeat', 'purpose', 'want', 'hear', 'need', 'he', 'cooing', 'sleep', 'ive', 'even', 'tried', 'moving', 'main', 'unit', 'across', 'room', 'placing', 'receiver', 'hallwaythen', 'there', 'battery', 'backup', 'thats', 'joke', 'unit', 'draw', 'much', 'electricity', 'battery', 'always', 'plugged', 'inive', 'enough', 'buying', 'another', 'one', 'today']",terrible sound doesnt work battery sound quality unit terrible load static hear every peep monthold make volume go certain level go silence sort defeat purpose want hear need he cooing sleep ive even tried moving main unit across room placing receiver hallwaythen there battery backup thats joke unit draw much electricity battery always plugged inive enough buying another one today
370001,great pump little pump packs serious power use lot pumps fill tire small price pay definitely worth every penny,1,19,"['great', 'pump', 'little', 'pump', 'pack', 'serious', 'power', 'use', 'lot', 'pump', 'fill', 'tire', 'small', 'price', 'pay', 'definitely', 'worth', 'every', 'penny']",great pump little pump pack serious power use lot pump fill tire small price pay definitely worth every penny
